NPSN,NAMA SEKOLAH,ALAMAT,DAFTAR KOMPETENSI,DAFTAR KOMPETENSI2,DAFTAR KOMPETENSI3,DAFTAR KOMPETENSI4,DAFTAR KOMPETENSI5,DAFTAR KOMPETENSI6,DAFTAR KOMPETENSI7,DAFTAR KOMPETENSI8,DAFTAR KOMPETENSI9,DAFTAR KOMPETENSI10,Nilai Rerata,Domisili
20101498,SMK NEGERI 53,JL. FLAMBOYAN - CENGKARENG,Teknik Instalasi Tenaga Listrik, Teknik Pengelasan, Teknik Kendaraan Ringan, Teknik Sepeda Motor, Teknik Audio Video, Teknik Komputer dan Jaringan,,,,,56.14,Jakarta Barat
20100156,SMK NEGERI 54,JL. BENDUNGAN JAGO NO. 53,"Teknik Pemanasan, Tata Udara, dan Pendinginan", Teknik Kendaraan Ringan, Teknik Komputer dan Jaringan,,,,,,,,56.5,Jakarta Pusat
20107438,SMK NEGERI 55,JL. PADEMANGAN TIMUR VII,Teknik Instalasi Tenaga Listrik, Teknik Kendaraan Ringan, Teknik Sepeda Motor, Desain Komunikasi Visual,,,,,,,52.13,Jakarta Utara
20107439,SMK NEGERI 56,"JL. RAYA PLUIT TIMUR NO. 1, JAKARTA UTARA",Desain Pemodelan dan Informasi Bangunan, Teknik Instalasi Tenaga Listrik, Teknik Otomasi Industri, Teknik Pemesinan, Teknik Kendaraan Ringan, Teknik Ototronik, Teknik Mekatronika, Teknik Komputer dan Jaringan, Desain Komunikasi Visual,,60.26,Jakarta Utara
20102598,SMK NEGERI 57,"JL. MARGASATWA NO. 38 B RAGUNAN, JAKARTA SELATAN",Usaha Layanan Wisata, Perhotelan, Kuliner,,,,,,,,65.05,Jakarta Selatan
20103779,SMK NEGERI 58,JL. SMIK BAMBU APUS / TMII CIPAYUNG JAKARTA TIMUR,Desain Pemodelan dan Informasi Bangunan, Teknik Fabrikasi Logam dan Manufaktur, Seni Lukis, Desain Komunikasi Visual, Kriya Kreatif Batik dan Tekstil, Kriya Kreatif Logam dan Perhiasan, Kriya Kreatif Kayu dan Rotan,,,,56.77,Jakarta Timur
20107358,SMK NEGERI 59,JL. PENINGGARAN BARAT I,Desain Komunikasi Visual, Bisnis Retail, Bisnis Digital,,,,,,,,55.58,Jakarta Selatan
20101497,SMK NEGERI 60,JL. DURI RAYA NO. 15,Usaha Layanan Wisata, Kuliner, Perhotelan,,,,,,,,54.9,Jakarta Barat
20109165,SMK NEGERI 61 (KEPULAUAN SERIBU),JL. PANTAI SELATAN NO.1 PULAU TIDUNG KEC. KEP. SERIBU SELATAN,Nautika Kapal Penangkapan Ikan, Nautika Kapal Niaga, Kuliner, Agribisnis Perikanan Payau dan Laut, Teknika Kapal Niaga,,,,,,47.02,Kepulauan Seribu
20109246,SMK NEGERI 62,JL. CAMAT GABUN 2,Desain Komunikasi Visual, Perhotelan, Manajemen Perkantoran, Akuntansi, Bisnis Retail,,,,,,58.54,Jakarta Selatan
20112443,SMK NEGERI 63,"JL. ASELIH NO. 100 KECAMATAN JAGAKARSA, KOTA JAKARTA SELATAN",Agribisnis Tanaman Pangan dan Hortikultura, Agribisnis Perbenihan Tanaman, Agribisnis Lanskap dan Pertamanan, Agribisnis Pengolahan Hasil Pertanian,,,,,,,52.33,Jakarta Selatan
69992315,SMK NEGERI 64,"JL. SMP 126 RT 10 RW 03 KEL. BATU AMPAR, KEC. KRAMATJATI, KOTA ADMINISTRASI JAKARTA TIMUR",Rekayasa Perangkat Lunak, Desain Komunikasi Visual,,,,,,,,,56.4,Jakarta Timur
69992316,SMK NEGERI 65,"JL. IPN RT 09 RW 06 , KEL. CIPINANG BESAR SELATAN, KEC. JATINEGRA, KOTA ADMINISTRASI JAKARTA TIMUR",Rekayasa Perangkat Lunak, Desain Komunikasi Visual, Produksi Film,,,,,,,,52.28,Jakarta Timur
69992317,SMK NEGERI 66,"JL. SPG 7 NO.33A RT 10 RW 09, KEL. LUBANG BUAYA, KEC. CIPAYUNG, KOTA ADMINISTRASI JAKARTA TIMUR",Usaha Layanan Wisata, Perhotelan, Kuliner,,,,,,,,52.93,Jakarta Timur
69992318,SMK NEGERI 67,"JL. TELAGA RT 13 RW 09, KEL. PEKAYON, KEC. PASAR REBO, KAMPUNG DUKUH, KOTA ADM. JAKARTA TIMUR",Animasi, Desain Komunikasi Visual,,,,,,,,,51.58,Jakarta Timur
69992319,SMK NEGERI 68,"JL. PENGANTIN ALI, RT 09 RW 06, KEL. CIRACAS, KEC. CIRACAS, KOTA ADM. JAKARTA TIMUR",Teknik Pengelasan, Teknik Fabrikasi Logam dan Manufaktur,,,,,,,,,53.2,Jakarta Timur
69992321,SMK NEGERI 69,"JL. RADJIMAN WIDYODININGRAT RT 08 RW 09, KEL. JATINEGARA, KEC. CAKUNG KOTA ADM. JAKARTA TIMUR",Teknik Ototronik, Teknik Mekatronika," Sistem Informasi, Jaringan dan Aplikasi",,,,,,,,58.52,Jakarta Timur
69992314,SMK NEGERI 70,"JL. TIPAR CAKUNG KAV. DKI RT 12 RW 04, KEL. PNDOK KELAPA, KEC. DUREN SAWIT, KOTA ADM. JAKARTA TIMUR",Perhotelan, Kuliner, Desain dan Produksi Busana,,,,,,,,59.43,Jakarta Timur
69992322,SMK NEGERI 71,"JL. RADJIMAN WIDYODININGRAT PULO JAHE RT 12 RW 14, KEL. JATINEGARA, KEC. CAKUNG JAKARTA TIMUR",Desain Komunikasi Visual, Rekayasa Perangkat Lunak, Animasi,,,,,,,,56.65,Jakarta Timur
69992346,SMK NEGERI 72,JL. KAYU BESAR BULAK JATI NO. 18 RT. 008/012,Teknik Jaringan Tenaga Listrik," Teknik Pemanasan, Tata Udara, dan Pendinginan",,,,,,,,,53.25,Jakarta Barat
69992323,SMK NEGERI 73,"JALAN BANGUN NUSA RAYA RT 11 RW 13 CENGKARENG TIMUR, JAKARTA BARAT",Usaha Layanan Wisata, Perhotelan, Kuliner,,,,,,,,60.61,Jakarta Barat
70054389,SMK NEGERI 74,"JL. MOCH. KAHFI II, RT 11 RW 08",Seni Musik, Seni Tari, Seni Karawitan, Seni Teater,,,,,,,53.42,Jakarta Selatan
20100216,SMA NEGERI 1,JL. BUDI UTOMO NO. 7,KURIKULUM MERDEKA,,,,,,,,,,66.04,Jakarta Pusat
20101622,SMA NEGERI 2,JL. GAJAH MADA NO. 175,KURIKULUM MERDEKA,,,,,,,,,,69.12,Jakarta Barat
20102216,SMA NEGERI 3,"JL. SETIABUDI II, JAKARTA SELATAN",KURIKULUM MERDEKA,,,,,,,,,,66.65,Jakarta Selatan
20100211,SMA NEGERI 4,JL. BATU 3,KURIKULUM MERDEKA,,,,,,,,,,61.5,Jakarta Pusat
20100210,SMA NEGERI 5,JL. RAYA SUMUR BATU,KURIKULUM MERDEKA,,,,,,,,,,65.46,Jakarta Pusat
20102574,SMA NEGERI 6,JL. MAHAKAM I/2 BLOK C,KURIKULUM MERDEKA,,,,,,,,,,69.64,Jakarta Selatan
20100200,SMA NEGERI 7,JL. KARET PS. BARU BARAT V,KURIKULUM MERDEKA,,,,,,,,,,56.9,Jakarta Pusat
20102568,SMA NEGERI 8,JL TAMAN BUKIT DURI TEBET,KURIKULUM MERDEKA,,,,,,,,,,81.47,Jakarta Selatan
20103279,SMA NEGERI 9,JL. SMU NEGERI 9 JAKARTA HALIM PERDANA KUSUMA,KURIKULUM MERDEKA,,,,,,,,,,60.69,Jakarta Timur
20100217,SMA NEGERI 10,JL. MANGGA BESAR XIII,KURIKULUM MERDEKA,,,,,,,,,,56.06,Jakarta Pusat
20103287,SMA NEGERI 11,JL. PENDIDIKAN,KURIKULUM MERDEKA,,,,,,,,,,62.94,Jakarta Timur
20103285,SMA NEGERI 12,JL. PERTANIAN,KURIKULUM MERDEKA,,,,,,,,,,64.65,Jakarta Timur
20100806,SMA NEGERI 13,"JALAN SEROJA NO. 1, RAWA BADAK UTARA",KURIKULUM MERDEKA,,,,,,,,,,72.01,Jakarta Utara
20103284,SMA NEGERI 14,JL. SMA BARAT,KURIKULUM MERDEKA,,,,,,,,,,64.96,Jakarta Timur
20100807,SMA NEGERI 15,JL. AGUNG UTARA STS BLOK A,KURIKULUM MERDEKA,,,,,,,,,,56.47,Jakarta Utara
20101625,SMA NEGERI 16,JL. BELIBIS TERUSAN NO. 16,KURIKULUM MERDEKA,,,,,,,,,,58.52,Jakarta Barat
20101624,SMA NEGERI 17,JL. MANGGA BESAR IV/I NO. 27 TAMAN SARI JAKARTA BARAT,KURIKULUM MERDEKA,,,,,,,,,,56.2,Jakarta Barat
20100809,SMA NEGERI 18,JL. WARAKAS I,KURIKULUM MERDEKA,,,,,,,,,,56.17,Jakarta Utara
20101623,SMA NEGERI 19,JL. PERNIAGAAN NO. 31,KURIKULUM MERDEKA,,,,,,,,,,57.46,Jakarta Barat
20100218,SMA NEGERI 20,JL. KREKOT BUNDER III/1,KURIKULUM MERDEKA,,,,,,,,,,56.26,Jakarta Pusat
20103283,SMA NEGERI 21,JL. TANAH MAS RAYA NO. 1,KURIKULUM MERDEKA,,,,,,,,,,70.19,Jakarta Timur
20103282,SMA NEGERI 22,JL. KRAMAT ASEM,KURIKULUM MERDEKA,,,,,,,,,,57.71,Jakarta Timur
20101621,SMA NEGERI 23,JL. MANDALA UTARA,KURIKULUM MERDEKA,,,,,,,,,,57.76,Jakarta Barat
20100219,SMA NEGERI 24,JL. LAPANGAN TEMBAK SENAYAN,KURIKULUM MERDEKA,,,,,,,,,,62.29,Jakarta Pusat
20100221,SMA NEGERI 25,JL. AM. SANGAJI NO. 22-24,KURIKULUM MERDEKA,,,,,,,,,,57.25,Jakarta Pusat
20102218,SMA NEGERI 26,JL. TEBET BARAT IV,KURIKULUM MERDEKA,,,,,,,,,,69.18,Jakarta Selatan
