NPSN;NAMA SEKOLAH;ALAMAT;DAFTAR KOMPETENSI;DAFTAR KOMPETENSI2;DAFTAR KOMPETENSI3;DAFTAR KOMPETENSI4;DAFTAR KOMPETENSI5;DAFTAR KOMPETENSI6;DAFTAR KOMPETENSI7;DAFTAR KOMPETENSI8;DAFTAR KOMPETENSI9;DAFTAR KOMPETENSI10;Domisili;Rerata prestasi akademik;Rerata prestasi nonakademik;rerata tahap kedua;rerata afirmasi;rerata zonasi;akreditasi;daya tampung prestasi akademik;daya tampung prestasi nonakademik;daya tampung tahap kedua;daya tampung afirmasi;daya tampung zonasi
20100783;SMK NEGERI 12;JL. KEBON BAWANG 15;Rekayasa Perangkat Lunak; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Utara;60.87;64.22;51.31;51.85;;A;133 murid;18 murid;78 murid;6 murid;
20101503;SMK NEGERI 13;JL. RAWA BELONG 2;Usaha Layanan Wisata; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Desain Komunikasi Visual;;;;;;Jakarta Barat;58.07;65.18;51.71;51.74;;A;190 murid;26 murid;118 murid;6 murid;
20100158;SMK NEGERI 14;JL.PERCETAKAN NEGARA NO.2A.JOHAR BARU. JAKARTA PUSAT;Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Pusat;61.45;60.52;50.50;52.57;;A;171 murid;23 murid;112 murid;8 murid;
20102578;SMK NEGERI 15;JL. MATARAM 1;Rekayasa Perangkat Lunak; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Selatan;51.98;58.65;49.70;48.61;;A;133 murid;18 murid;93 murid;10 murid;
20100159;SMK NEGERI 16;JL. TAMAN AMIR HAMZAH;Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Pusat;56.47;65.05;50.76;49.98;;A;114 murid;16 murid;70 murid;8 murid;
20101502;SMK NEGERI 17;JL. G. SLIPI. SLIPI;Rekayasa Perangkat Lunak; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Barat;56.72;60.99;50.25;50.32;;A;114 murid;16 murid;68 murid;6 murid;
20102589;SMK NEGERI 18;JLN. CIPUTAT RAYA KOMP. BANK MANDIRI;Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Selatan;54.14;58.98;50.12;49.10;;A;113 murid;16 murid;78 murid;10 murid;
20100160;SMK NEGERI 19;JL. DANAU LIMBOTO NO. 11;Produksi Film; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Pusat;61.85;61.07;50.23;49.51;;A;114 murid;15 murid;69 murid;11 murid;
20102587;SMK NEGERI 20;JL. MELATI NO.24. JAKARTA SELATAN;Manajemen Perkantoran; Akuntansi; Bisnis Retail; Bisnis Digital; Layanan Perbankan Syariah; Rekayasa Perangkat Lunak; Manajemen Logistik;;;;Jakarta Selatan;57.94;61.99;51.50;50.55;;A;152 murid;23 murid;100 murid;11 murid;
20100162;SMK NEGERI 21;JL. SIAGA I GG. SWADAYA III;Rekayasa Perangkat Lunak; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Pusat;59.74;58.37;49.43;48.17;;A;92 murid;11 murid;63 murid;13 murid;
20103790;SMK NEGERI 22;JL. RAYA CONDET;Teknik Komputer dan Jaringan; Manajemen Perkantoran; Akuntansi; Bisnis Digital;;;;;;;Jakarta Timur;56.07;65.67;52.70;50.55;;A;114 murid;16 murid;68 murid;7 murid;
20107433;SMK NEGERI 23;JL. PEDAMENGAN III/19;Desain dan Produksi Busana; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Bisnis Digital;;;;;;Jakarta Utara;60.85;59.21;55.13;49.47;;A;133 murid;19 murid;90 murid;14 murid;
20103788;SMK NEGERI 24;JL. BAMBU WULUNG;Rekayasa Perangkat Lunak; Usaha Layanan Wisata; Perhotelan; Kuliner; Desain dan Produksi Busana;;;;;;Jakarta Timur;55.51;64.82;51.95;49.80;;A;228 murid;31 murid;139 murid;20 murid;
20102586;SMK NEGERI 25;JL. RAYA RAGUNAN;Manajemen Perkantoran; Akuntansi; Bisnis Digital; Desain Komunikasi Visual;;;;;;;Jakarta Selatan;57.15;63.22;51.39;50.28;;A;95 murid;14 murid;64 murid;6 murid;
20103787;SMK NEGERI 26;JL. BALAI PUSTAKA BARU I. JAKARTA TIMUR;Konstruksi Gedung dan Sanitasi; Teknik Instalasi Tenaga Listrik; Teknik Fabrikasi Logam dan Manufaktur; Teknik Kendaraan Ringan; Sistem Informasi. Jaringan dan Aplikasi; Teknik Elektronika Komunikasi; Teknik Bodi Kendaraan Ringan;;;;Jakarta Timur;64.15;72.97;54.00;56.19;;A;227 murid;31 murid;142 murid;14 murid;
20100163;SMK NEGERI 27;JL. DR. SUTOMO NO 1. JAKARTA PUSAT;Usaha Layanan Wisata; Perhotelan; Kuliner; Tata Kecantikan Kulit dan Rambut; Desain dan Produksi Busana; Desain Komunikasi Visual;;;;;Jakarta Pusat;60.54;67.91;51.93;51.85;;A;228 murid;32 murid;143 murid;17 murid;
20102585;SMK NEGERI 28;JL. MARITIM NO. 26;Layanan Penunjang Keperawatan dan Caregiving; Pekerjaan Sosial; Perhotelan; Kuliner;;;;;;;Jakarta Selatan;57.18;60.88;50.26;50.16;;A;171 murid;23 murid;112 murid;17 murid;
20102602;SMK NEGERI 29;JL. PROF. JOKOSUTONO. SH NO. 1. JAKARTA SELATAN;Teknik Pemanasan. Tata Udara. dan Pendinginan; Airframe Powerplant; Electrical Avionic; Teknik Elektronika Industri;;;;;;;Jakarta Selatan;55.75;62.95;50.43;49.45;;A;188 murid;24 murid;127 murid;35 murid;
20102582;SMK NEGERI 30;JL. PAKU BUWONO 6 KEBAYORAN. DKI JKT. JAKARTA SELATAN;Perhotelan; Kuliner; Desain dan Produksi Busana;;;;;;;;Jakarta Selatan;59.23;60.69;50.36;50.24;;A;114 murid;14 murid;69 murid;8 murid;
20100165;SMK NEGERI 31;JL. KRAMAT JAYA BARU BLOK D II;Animasi; Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Layanan Perbankan; Bisnis Retail;;;;;Jakarta Pusat;51.51;57.12;49.94;48.91;;A;114 murid;16 murid;73 murid;6 murid;
20102581;SMK NEGERI 32;JL. TEBET DALAM 4 NO. 1;Perhotelan; Kuliner; Desain dan Produksi Busana;;;;;;;;Jakarta Selatan;53.8;65.28;50.37;50.21;;A;133 murid;18 murid;79 murid;10 murid;
20107434;SMK NEGERI 33;JL. GADING MAS TIMUR DUA. JAKARTA UTARA;Usaha Layanan Wisata; Perhotelan; Kuliner; Desain dan Produksi Busana;;;;;;;Jakarta Utara;58.31;58.53;50.95;50.40;;A;114 murid;16 murid;70 murid;9 murid;
20100166;SMK NEGERI 34;JL. KRAMAT RAYA NO. 93;Teknik Instalasi Tenaga Listrik; Teknik Pemesinan; Teknik Kendaraan Ringan; Teknik Sepeda Motor; Desain Komunikasi Visual;;;;;;Jakarta Pusat;59.79;61.08;49.54;49.47;;A;133 murid;19 murid;85 murid;8 murid;
20101501;SMK NEGERI 35;JL. KERAJINAN NO. 42;Desain Pemodelan dan Informasi Bangunan; Teknik Instalasi Tenaga Listrik; Teknik Pemesinan; Teknik Kendaraan Ringan; Teknik Audio Video;;;;;;Jakarta Barat;53.71;65.19;49.86;49.51;;A;190 murid;25 murid;126 murid;22 murid;
20107435;SMK NEGERI 36;JL. BARU KOSAMBI III;Teknik Pemesinan; Teknik Kendaraan Ringan; Teknik Alat Berat; Nautika Kapal Penangkapan Ikan; Teknika Kapal Penangkapan Ikan; Teknik Komputer dan Jaringan; Desain Komunikasi Visual; Agribisnis Ikan Hias;;;Jakarta Utara;58.47;63.27;50.85;50.08;;A;152 murid;24 murid;96 murid;18 murid;
20102601;SMK NEGERI 37;JL. PERTANIAN 3;Perhotelan; Kuliner; Desain dan Produksi Busana;;;;;;;;Jakarta Selatan;53.06;61.85;51.59;49.09;;A;133 murid;17 murid;84 murid;10 murid;
20100167;SMK NEGERI 38;JL. KARET PASAR BARU TIMUR 2 - KARET TENGSIN - TANAH ABANG. JAKARTA PUSAT 10220;Perhotelan; Kuliner; Desain dan Produksi Busana;;;;;;;;Jakarta Pusat;54.29;59.41;49.40;48.72;;A;114 murid;15 murid;73 murid;14 murid;
20100168;SMK NEGERI 39;JL. CEMPAKA PUTIH TENGAH VI NO. 2;Teknik Kendaraan Ringan; Teknik Sepeda Motor; Teknik Audio Video; Teknik Elektronika Industri; Teknik Elektronika Komunikasi;;;;;;Jakarta Pusat;53.18;59.23;49.65;48.35;;A;152 murid;21 murid;99 murid;13 murid;
20103786;SMK NEGERI 40;JL. NANAS I UTAN KAYU;Rekayasa Perangkat Lunak; Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;Jakarta Timur;54.4;57.39;49.52;49.63;;A;114 murid;17 murid;70 murid;8 murid;
20102580;SMK NEGERI 41;JL. MARGASATWA KOMPLEK TIMAH;Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Bisnis Digital;;;;;;Jakarta Selatan;58.57;63.87;51.63;50.49;;A;131 murid;16 murid;85 murid;9 murid;
20101500;SMK NEGERI 42;JL. KAMAL RAYA;Produksi dan Siaran Program Radio; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Barat;62.08;67.57;52.09;53.13;;A;133 murid;18 murid;87 murid;7 murid;
20102600;SMK NEGERI 43;JL. CIPULIR 1;Teknik Komputer dan Jaringan; Manajemen Logistik; Akuntansi; Bisnis Retail; Rekayasa Perangkat Lunak;;;;;;Jakarta Selatan;54.87;58.40;50.15;49.48;;A;95 murid;14 murid;60 murid;9 murid;
20100157;SMK NEGERI 44;JL. HARAPAN JAYA 9/5A;Teknik Komputer dan Jaringan; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;;Jakarta Pusat;56.31;62.43;51.04;48.47;;A;114 murid;16 murid;74 murid;8 murid;
20101499;SMK NEGERI 45;JL. KPBD;Produksi dan Siaran Program Televisi; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Desain Komunikasi Visual;;;;;;Jakarta Barat;61.33;67.00;51.12;51.32;;A;152 murid;21 murid;94 murid;8 murid;
