NPSN;NAMA SEKOLAH;ALAMAT;DAFTAR KOMPETENSI;DAFTAR KOMPETENSI2;DAFTAR KOMPETENSI3;DAFTAR KOMPETENSI4;DAFTAR KOMPETENSI5;DAFTAR KOMPETENSI6;DAFTAR KOMPETENSI7;DAFTAR KOMPETENSI8;DAFTAR KOMPETENSI9;DAFTAR KOMPETENSI10;Domisili;Rerata prestasi akademik;Rerata prestasi nonakademik;rerata tahap kedua;rerata afirmasi;rerata zonasi;akreditasi;daya tampung prestasi akademik;daya tampung prestasi nonakademik;daya tampung tahap kedua;daya tampung afirmasi;daya tampung zonasi
20103285;SMA NEGERI 12;JL. PERTANIAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;64.65;63.41;92.35;91.75;92.63;A;53 murid;15 murid;11 murid;61 murid;74 murid
20100806;SMA NEGERI 13;JALAN SEROJA NO. 1. RAWA BADAK UTARA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;72.01;67.6;95.73;91.40;94.665;A;71 murid;20 murid;6 murid;69 murid;99 murid
20103284;SMA NEGERI 14;JL. SMA BARAT;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;64.96;65.51;94.58;94.20;93.78;A;61 murid;17 murid;17 murid;67 murid;86 murid
20100807;SMA NEGERI 15;JL. AGUNG UTARA STS BLOK A;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;56.47;57.55;85.25;93.08;89.345;A;54 murid;15 murid;9 murid;62 murid;75 murid
20101625;SMA NEGERI 16;JL. BELIBIS TERUSAN NO. 16;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;58.52;57.34;89.65;92.82;91.54;A;61 murid;17 murid;22 murid;66 murid;85 murid
20101624;SMA NEGERI 17;JL. MANGGA BESAR IV/I NO. 27 TAMAN SARI JAKARTA BARAT;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;56.2;57.05;86.42;91.25;87.56;A;44 murid;12 murid;14 murid;51 murid;61 murid
20100809;SMA NEGERI 18;JL. WARAKAS I;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;56.17;59.14;85.68;94.55;90.205;A;62 murid;17 murid;14 murid;68 murid;86 murid
20101623;SMA NEGERI 19;JL. PERNIAGAAN NO. 31;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;57.46;56.82;86.87;92.55;87.85;A;53 murid;15 murid;14 murid;53 murid;74 murid
20100218;SMA NEGERI 20;JL. KREKOT BUNDER III/1;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;56.26;57.92;86.02;90.27;85.575;A;44 murid;12 murid;12 murid;51 murid;61 murid
20103283;SMA NEGERI 21;JL. TANAH MAS RAYA NO. 1;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;70.19;70.08;96.40;95.60;94.725;A;71 murid;20 murid;9 murid;84 murid;99 murid
20103282;SMA NEGERI 22;JL. KRAMAT ASEM;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.71;58.08;86.62;91.85;88.40;A;70 murid;20 murid;30 murid;77 murid;98 murid
20101621;SMA NEGERI 23;JL. MANDALA UTARA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;57.76;58.48;89.25;92.37;89.485;A;53 murid;15 murid;16 murid;52 murid;74 murid
20100219;SMA NEGERI 24;JL. LAPANGAN TEMBAK SENAYAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;62.29;58.28;89.18;94.23;89.945;A;44 murid;12 murid;13 murid;48 murid;61 murid
20100221;SMA NEGERI 25;JL. AM. SANGAJI NO. 22-24;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;57.25;56.32;86.40;87.70;87.60;A;44 murid;12 murid;6 murid;50 murid;61 murid
20102218;SMA NEGERI 26;JL. TEBET BARAT IV;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;69.18;66.07;94.45;95.22;93.84;A;53 murid;15 murid;10 murid;53 murid;74 murid
20100223;SMA NEGERI 27;JL. MARDANI RAYA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;60.75;59.21;88.13;92.82;88.455;A;61 murid;17 murid;16 murid;60 murid;86 murid
20107319;SMA NEGERI 28;JL RAYA RAGUNAN. JAKARTA SELATAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;76.98;72.59;96.15;97.98;96.30;A;62 murid;17 murid;12 murid;72 murid;86 murid
20102217;SMA NEGERI 29;JL. KRAMAT NO.6;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;61.31;61.01;91.65;94.50;92.105;A;62 murid;17 murid;9 murid;74 murid;87 murid
20100224;SMA NEGERI 30;JL. JEND. A. YANI;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;61.7;60.25;88.52;90.98;90.00;A;70 murid;20 murid;17 murid;75 murid;98 murid
20103281;SMA NEGERI 31;JL. KAYU MANIS TIMUR;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;63.05;61.55;89.93;93.42;91.34;A;89 murid;25 murid;13 murid;99 murid;124 murid
20102215;SMA NEGERI 32;JL. PANJANG KOMP. SETNEG BARU;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;57.5;57.88;87.13;93.85;89.83;A;71 murid;20 murid;20 murid;78 murid;99 murid
2010160;SMA NEGERI 33;JL. KAMAL RAYA NO. 54;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;69.95;66.58;93.45;95.22;93.21;A;71 murid;20 murid;9 murid;69 murid;100 murid
20102214;SMA NEGERI 34;JL. MARGASATWA RAYA NO. 1;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;74;70.22;96.15;96.05;95.09;A;71 murid;20 murid;11 murid;74 murid;99 murid
20100212;SMA NEGERI 35;JL. MUTIARA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;57.02;62.82;86.15;91.30;87.98;A;62 murid;17 murid;17 murid;68 murid;86 murid
20103280;SMA NEGERI 36;JL. PERHUBUNGAN RAYA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;59.85;60.04;88.65;93.83;91.955;A;71 murid;20 murid;17 murid;80 murid;99 murid
20102213;SMA NEGERI 37;JL. H. NO. 40;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;58.12;58.09;88.67;91.32;90.485;A;62 murid;17 murid;17 murid;69 murid;87 murid
20102212;SMA NEGERI 38;JL. RAYA LENTENG AGUNG;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;65.88;66.3;94.25;95.35;94.365;A;62 murid;17 murid;16 murid;73 murid;86 murid
20103296;SMA NEGERI 39;JL. RA. FADILLAH;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;70.42;68.69;97.32;95.48;94.53;A;62 murid;17 murid;7 murid;74 murid;87 murid
20100810;SMA NEGERI 40;JL. BUDI MULIA RAYA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;63.09;58.03;89.27;91.40;87.775;A;62 murid;17 murid;19 murid;68 murid;86 murid
20100811;SMA NEGERI 41;JL. LAKS. R. E. MARTADINATA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;63.73;56.49;85.12;88.38;86.775;A;61 murid;17 murid;12 murid;74 murid;86 murid
20103297;SMA NEGERI 42;JL. RAJAWALI;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.47;59.14;89.03;89.90;90.515;A;62 murid;17 murid;11 murid;73 murid;86 murid
20102211;SMA NEGERI 43;JL. MINANGKABAU DALAM;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;57.64;59.63;86.75;91.30;89.375;A;53 murid;15 murid;16 murid;53 murid;74 murid
20103298;SMA NEGERI 44;JL. DELIMA IV PERUM KLENDER;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;65.15;61.16;89.40;94.32;92.555;A;62 murid;17 murid;12 murid;73 murid;87 murid
20100812;SMA NEGERI 45;JL. PERINTIS KEMERDEKAAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;57.8;56.87;86.38;93.15;88.74;A;70 murid;19 murid;19 murid;81 murid;97 murid
20102210;SMA NEGERI 46;JL. MESJID DARUSSALAM;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;57.61;58.96;89.87;94.40;88.365;A;80 murid;22 murid;24 murid;91 murid;112 murid
20102193;SMA NEGERI 47;JL. DELMAN UTAMA I;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;70.57;66.14;96.48;97.58;94.79;A;70 murid;19 murid;13 murid;79 murid;97 murid
20103314;SMA NEGERI 48;JL. PINANGRANTI II;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;72.39;67.84;96.80;96.87;96.225;A;71 murid;20 murid;11 murid;75 murid;99 murid
20102592;SMA NEGERI 49;JL. PEPAYA 9;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;64.53;63.01;94.00;94.95;93.205;A;54 murid;15 murid;13 murid;63 murid;75 murid
20103313;SMA NEGERI 50;JL. PLN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;60.05;58.27;88.95;89.85;89.125;A;62 murid;17 murid;8 murid;69 murid;87 murid
20103312;SMA NEGERI 51;JL. BATU AMPAR III;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;58.5;58.85;87.25;93.55;89.695;A;71 murid;20 murid;13 murid;73 murid;99 murid
20100797;SMA NEGERI 52;JL. RAYA TUGU SEMPER;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;65.61;65.17;92.85;95.48;92.435;A;70 murid;20 murid;15 murid;80 murid;98 murid
20103311;SMA NEGERI 53;JL. CIPINANG JAYA 2B;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.61;58.91;88.97;95.63;90.475;A;61 murid;17 murid;15 murid;68 murid;85 murid
20103310;SMA NEGERI 54;JL. JATINEGARA TIMUR IV;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;60.81;60.3;88.18;95.08;91.24;A;70 murid;20 murid;12 murid;72 murid;98 murid
20102575;SMA NEGERI 55;JL. MINYAK RAYA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;67.21;64.72;93.30;94.17;91.95;A;71 murid;20 murid;9 murid;82 murid;99 murid
20101605;SMA NEGERI 56;JL. KAMAL RAYA TEGAL ALUR;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;56.53;59.52;91.23;93.12;91.005;A;44 murid;12 murid;13 murid;46 murid;62 murid
20101604;SMA NEGERI 57;JL. RAYA KEDOYA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;57.88;61.23;87.65;91.88;90.53;A;53 murid;15 murid;12 murid;50 murid;74 murid
20103309;SMA NEGERI 58;JL. RAYA CIRACAS;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;65.46;66.25;89.83;94.32;93.74;A;79 murid;22 murid;15 murid;75 murid;110 murid
20103308;SMA NEGERI 59;JL. BULAK TIMUR I NO.10-11;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.47;59.65;88.38;91.95;91.825;A;62 murid;17 murid;18 murid;69 murid;86 murid
20102573;SMA NEGERI 60;JL. KEMANG TIMUR I NO.6;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;62.12;61.85;88.60;92.28;91.64;A;62 murid;17 murid;15 murid;73 murid;87 murid
20103307;SMA NEGERI 61;JL. TARUNA PAH. REVOLUSI;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;72.06;67.67;96.40;91.45;94.825;A;53 murid;15 murid;7 murid;57 murid;74 murid
20103306;SMA NEGERI 62;JL. RAYA BOGOR KM. 20;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;61.76;61.83;91.30;88.60;91.975;A;53 murid;15 murid;14 murid;51 murid;74 murid
20102572;SMA NEGERI 63;JL. AMD V MANUNGGAL V/57;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;64.66;61.61;91.23;92.30;91.125;A;53 murid;15 murid;17 murid;56 murid;74 murid
20103305;SMA NEGERI 64;JL. RAYA CIPAYUNG;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;60.52;63.55;87.70;94.15;91.325;A;62 murid;17 murid;13 murid;64 murid;87 murid
20101589;SMA NEGERI 65;JL. RAYA PANJANG;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;67.63;66.2;92.28;93.68;94.81;A;44 murid;12 murid;4 murid;44 murid;62 murid
20102571;SMA NEGERI 66;JL. BANGO III;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;62.73;64.1;91.90;92.65;92.21;A;62 murid;17 murid;12 murid;73 murid;86 murid
20103304;SMA NEGERI 67;JL. SQUADRON HALIM PK;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;63.31;61.91;93.85;93.48;92.275;A;61 murid;17 murid;15 murid;69 murid;85 murid
20100199;SMA NEGERI 68;JL SALEMBA RAYA NO 18;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;76.28;70.35;96.63;95.03;94.45;A;70 murid;20 murid;10 murid;83 murid;98 murid
20107185;SMA NEGERI 69 (KEPULAUAN SERIBU);PULAU PRAMUKA RT 002 RW 005;KURIKULUM MERDEKA;;;;;;;;;;Kepulauan Seribu;59.13;38.76;86.05;92.07;79.025;A;62 murid;17 murid;32 murid;75 murid;87 murid
20102570;SMA NEGERI 70;JL. BULUNGAN BLOK C NO.1;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;70.01;69.34;96.35;96.93;92.215;A;89 murid;25 murid;16 murid;104 murid;124 murid
20103303;SMA NEGERI 71;JL. H. DOGOL KAV. TNI-AL;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;68.64;66.07;94.40;96.78;95.015;A;70 murid;20 murid;14 murid;72 murid;98 murid
20100796;SMA NEGERI 72;JL. PRIHATIN KOMP. TNI AL;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;64.4;60.57;86.08;91.23;87.79;A;61 murid;17 murid;20 murid;71 murid;85 murid
20100795;SMA NEGERI 73;JL. RAYA CAKUNG CILINCING NO.1;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;59.75;55.47;86.20;93.10;89.005;A;52 murid;14 murid;14 murid;55 murid;72 murid
20102569;SMA NEGERI 74;JL. DARMA PUTRA XI;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;56.36;58.9;88.98;89.83;88.34;A;61 murid;17 murid;17 murid;69 murid;86 murid
20100779;SMA NEGERI 75;JL. TIPAR CAKUNG;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;62.3;56.77;88.10;91.35;90.21;A;61 murid;17 murid;13 murid;71 murid;86 murid
20103302;SMA NEGERI 76;JL. TIPAR CAKUNG;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;55.82;57.96;86.73;92.07;89.44;A;44 murid;12 murid;13 murid;43 murid;62 murid
20100201;SMA NEGERI 77;JL. CEMPAKA PUTIH TENGAH;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;69.35;64.9;94.73;95.63;92.775;A;52 murid;15 murid;9 murid;56 murid;73 murid
20101588;SMA NEGERI 78;JL. BHAKTI IV/1 KOMPLEK PAJAK;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;71.46;68.12;96.72;96.50;94.09;A;98 murid;27 murid;14 murid;106 murid;137 murid
20107320;SMA NEGERI 79;JL. MENTENG PULO UJUNG;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;56.53;57.15;89.63;90.62;88.24;A;44 murid;12 murid;9 murid;49 murid;61 murid
20100780;SMA NEGERI 80;JL. SUNTER KARYA SELATAN V NO.80;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;64.96;68.59;89.30;95.85;91.80;A;63 murid;18 murid;8 murid;69 murid;88 murid
20103301;SMA NEGERI 81;JL. KARTIKA EKA PAKSI. KPAD;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;77.47;70.65;97.15;96.30;96.215;A;62 murid;17 murid;8 murid;69 murid;86 murid
20102566;SMA NEGERI 82;JL. DAHA II/15A;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;58.65;61.66;90.58;95.28;88.83;A;53 murid;15 murid;11 murid;64 murid;75 murid
20100781;SMA NEGERI 83;JL. TIPAR CAKUNG;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;55.26;53.75;86.10;90.12;88.15;A;44 murid;12 murid;13 murid;45 murid;62 murid
20101587;SMA NEGERI 84;JL. PETA BARAT NO.42;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;61.96;60.06;88.88;93.08;92.54;A;60 murid;17 murid;22 murid;58 murid;83 murid
20101586;SMA NEGERI 85;JL. SRENGSENG RAYA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;61.7;60.66;89.00;89.95;91.975;A;61 murid;17 murid;12 murid;69 murid;86 murid
20102565;SMA NEGERI 86;JL. BINTARO PERMAI IV NO.36;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;57.32;59.27;86.02;94.10;91.09;A;53 murid;15 murid;15 murid;62 murid;74 murid
20102564;SMA NEGERI 87;JL. MAWAR II BINTARO;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;57.83;58.67;88.63;93.38;89.50;A;53 murid;15 murid;13 murid;62 murid;74 murid
20103300;SMA NEGERI 88;JL. SAWO INDAH;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;59.27;57.98;90.53;90.40;89.40;A;44 murid;12 murid;13 murid;50 murid;61 murid
20103299;SMA NEGERI 89;JL. KAYU TINGGI;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;65.39;62.63;92.97;95.45;93.945;A;53 murid;15 murid;9 murid;55 murid;74 murid
20102563;SMA NEGERI 90;JL. SABAR PETUKANGAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;65.36;61.94;91.73;96.12;92.80;A;79 murid;22 murid;13 murid;95 murid;110 murid
20103278;SMA NEGERI 91;JL. LEMBAH LONTAR;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;64.26;62.56;93.85;94.35;93.825;A;52 murid;15 murid;14 murid;53 murid;73 murid
20100782;SMA NEGERI 92;JL. KOMPLEK PEMADAM KEBAKARAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;60.93;57.74;85.85;92.80;89.365;A;71 murid;20 murid;13 murid;83 murid;99 murid
20103258;SMA NEGERI 93;JL. RAYA BOGOR KOMPLEK PASPAMPRES;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.47;59.48;87.23;95.33;90.54;A;53 murid;15 murid;12 murid;56 murid;74 murid
20101585;SMA NEGERI 94;JL. RAYA SEMANAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;64.45;61.59;91.73;90.85;90.875;A;53 murid;15 murid;6 murid;57 murid;75 murid
20101584;SMA NEGERI 95;JL. SATU MARETNO.49;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;62.93;58.61;87.80;92.85;91.74;A;79 murid;22 murid;21 murid;88 murid;110 murid
20101583;SMA NEGERI 96;JL. JATI RAYA 40;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;62.29;57.92;87.98;92.33;91.48;A;62 murid;17 murid;13 murid;61 murid;86 murid
20102562;SMA NEGERI 97;JL. BRIGIF 2;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;63.73;63.8;92.45;95.03;90.465;A;80 murid;22 murid;18 murid;95 murid;111 murid
20103257;SMA NEGERI 98;JL. JAHA NO.1;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;61.16;62.24;92.53;94.02;91.765;A;79 murid;22 murid;14 murid;77 murid;111 murid
20103256;SMA NEGERI 99;JL. CIBUBUR II;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;66.56;66.02;94.55;95.45;94.25;A;79 murid;22 murid;19 murid;85 murid;110 murid
20103294;SMA NEGERI 100;JL. PERSATUAN 2;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.45;57.13;87.90;91.13;88.805;A;52 murid;15 murid;20 murid;53 murid;73 murid
20101627;SMA NEGERI 101;JL. KOMPLEKS JOGLO BARU;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;58.35;58.39;96.85;82.25;93.68;A;70 murid;20 murid;18 murid;75 murid;98 murid
20103293;SMA NEGERI 102;JL. KAYUTINGGI;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;59.75;56.24;87.68;82.30;91.60;A;61 murid;17 murid;22 murid;74 murid;85 murid
20103292;SMA NEGERI 103;JL. MAWAR MERAH;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;63.09;62.72;92.90;85.25;96.87;A;63 murid;18 murid;10 murid;59 murid;88 murid
20103291;SMA NEGERI 104;JL. H. TAIMAN BARAT;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.23;60.19;91.53;81.885;94.08;A;70 murid;20 murid;14 murid;78 murid;98 murid
20103290;SMA NEGERI 105;JL. USMAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;58.91;61.2;87.55;85.305;94.10;A;61 murid;17 murid;13 murid;59 murid;86 murid
20103289;SMA NEGERI 106;JL. GANDARIA I;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;57.52;58.56;91.35;83.225;93.78;A;63 murid;18 murid;19 murid;67 murid;88 murid
20103288;SMA NEGERI 107;JL. KAMP. RAWA BADUNG TIMUR;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;55.1;54.83;88.15;81.025;92.90;A;54 murid;15 murid;18 murid;54 murid;75 murid
20102230;SMA NEGERI 108;JL. KESADARAN ULUJAMI RAYA;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;61.89;55.91;86.40;81.66;92.07;A;44 murid;12 murid;12 murid;53 murid;61 murid
20102219;SMA NEGERI 109;JL. GARDU NO. 31;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;57.73;61.25;93.10;82.66;93.18;A;62 murid;17 murid;19 murid;76 murid;87 murid
20100802;SMA NEGERI 110;JL. BENDUNGAN MELAYU;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;64.71;62.19;87.10;83.735;92.67;A;71 murid;20 murid;13 murid;80 murid;100 murid
20100803;SMA NEGERI 111;JL. BANDENGAN UTARA NO. 80;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;56.3;58.44;87.05;81.515;97.30;A;35 murid;10 murid;15 murid;33 murid;49 murid
20101626;SMA NEGERI 112;JL. SANGGRAHAN NO. 2;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Barat;64.05;65.1;90.40;84.45;95.73;A;71 murid;20 murid;17 murid;69 murid;99 murid
20103286;SMA NEGERI 113;JL. ALBAIDO;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Timur;68.64;60.38;89.23;83.71;94.65;A;79 murid;22 murid;11 murid;86 murid;110 murid
20100804;SMA NEGERI 114;JL. PEDONGKELAN NO.25;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;58.02;58.68;86.28;81.925;92.33;A;36 murid;10 murid;6 murid;34 murid;50 murid
20100805;SMA NEGERI 115;JL. ROROTAN X ROROTAN;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Utara;56.14;54.35;87.85;82.84;92.30;A;35 murid;10 murid;10 murid;39 murid;49 murid
70053381;SMA NEGERI 116;JL. SD III. RT. 02. RW. 08;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Selatan;55.54;56.58;88.67;82.46;91.88;Belum Terdaftar/Belum Terakreditasi;54 murid;15 murid;7 murid;63 murid;75 murid
70054019;SMA NEGERI 117;JALAN CIASEM NO 2;KURIKULUM MERDEKA;;;;;;;;;;Jakarta Pusat;57;59.61;91.68;82.735;90.43;Belum Terdaftar/Belum Terakreditasi;45 murid;13 murid;9 murid;53 murid;63 murid
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
